資料集識別碼,資料集名稱,服務分類,檔案格式,資料下載網址,編碼格式,資料集類型,資料集描述,主要欄位說明,提供機關,更新頻率,授權方式,相關網址,計費方式,提供機關聯絡人姓名,提供機關聯絡人電話,上架日期,詮釋資料更新時間,備註
6319,教育學學術名詞,公共資訊,CSV,http://wd.naer.edu.tw/open/edu.csv,UTF-8,a01,本資料集主要提供教育學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2013/09/25 00:00","2016/06/21 00:28","授權說明網址: http://data.gov.tw/license"
14549,國家教育研究院-人體解剖學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/282307599.csv,UTF-8,a01,主要提供人體解剖學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/05 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
14708,國家教育研究院-力學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/637655080.csv,UTF-8,a01,主要提供力學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/06 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
14709,國家教育研究院-土木工程學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/808810033.csv,UTF-8,a01,主要提供土木工程英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/05 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
14837,國家教育研究院-土壤學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/106802443.csv,UTF-8,a01,土壤學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
14838,國家教育研究院-工程圖學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/181136957.csv,UTF-8,a01,工程圖學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
14839,國家教育研究院-工業工程學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/209086902.csv,UTF-8,a01,工業工程英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
14840,國家教育研究院-內分泌學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/14840.csv,UTF-8,a01,內分泌學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2019/07/17 19:54","授權說明網址: http://data.gov.tw/license"
14841,國家教育研究院-化學工程學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/139181737.csv,UTF-8,a01,化學工程英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
14842,國家教育研究院-化學名詞-不飽和雜環化合物學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/14842.csv,UTF-8,a01,化學名詞-不飽和雜環化合物英中對照名詞等資訊。,"英文名稱,中文名稱",國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2019/07/17 19:54","授權說明網址: http://data.gov.tw/license"
14843,國家教育研究院-化學名詞-化學元素,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/14843.csv,UTF-8,a01,化學名詞-化學元素英中對照名詞等資訊。,英文名稱;中文名稱;原子序;符號;音;讀,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2019/07/17 19:57","授權說明網址: http://data.gov.tw/license"
14844,國家教育研究院-化學名詞-化學相關科學家,公共資訊,XML,http://www.naer.edu.tw/ezfiles/0/1000/img/80/14844.xml,UTF-8,a01,化學名詞-化學相關科學家等資訊。,DocumentProperties,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2019/07/25 10:51","授權說明網址: http://data.gov.tw/license"
14845,國家教育研究院-化學名詞-化學術語學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/14845.csv,UTF-8,a01,化學名詞-化學術語英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2019/07/17 19:53","授權說明網址: http://data.gov.tw/license"
14846,國家教育研究院-化學名詞-有機化合物學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/154968993.csv,UTF-8,a01,化學名詞-有機化合物英中對照名詞等資訊。,英文名稱;中文名稱;化學式,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15158,國家教育研究院-化學名詞-有機化合物之基學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/151069532.csv,UTF-8,a01,化學名詞-有機化合物之基英中對照名詞等資訊。,英文名稱;中文名稱;化學式,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/08 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15159,國家教育研究院-化學名詞-兩岸中小學教科書學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/15159.csv,UTF-8,a01,化學名詞-兩岸中小學教科書英中對照名詞等資訊。,英文名稱;中文名稱;大陸譯名,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/08 00:00","2019/07/25 10:58","授權說明網址: http://data.gov.tw/license"
15160,國家教育研究院-化學名詞-兩岸化學名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/923043276.csv,UTF-8,a01,化學名詞-兩岸化學英中對照名詞等資訊。,英文名稱;中文名稱;大陸譯名,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/08 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15161,國家教育研究院-化學名詞-高中以下化學名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/109704194.csv,UTF-8,a01,化學名詞-高中以下化學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/08 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15162,國家教育研究院-化學名詞-常見生物鹼名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/136332590.csv,UTF-8,a01,化學名詞-常見生物鹼英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/08 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15163,國家教育研究院-化學名詞-常見萜類學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/199860818.csv,UTF-8,a01,化學名詞-常見萜類英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/08 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15164,國家教育研究院-化學名詞-無機化合物,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/403240393.csv,UTF-8,a01,化學名詞-無機化合物英中對照名詞等資訊。,英文名稱;中文名稱;化學式,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/08 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15165,國家教育研究院-化學名詞-硼化合物學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/164055482.csv,UTF-8,a01,化學名詞-硼化合物英中對照名詞等資訊。,英文名稱;中文名稱;化學式,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/08 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15166,國家教育研究院-天文學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/200515608.csv,UTF-8,a01,天文學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/08 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15167,國家教育研究院-心理學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/202421582.csv,UTF-8,a01,心理學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/08 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15209,國家教育研究院-比較解剖學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/325121250.csv,UTF-8,a01,比較解剖學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/11 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15210,國家教育研究院-水利工程學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/580002959.csv,UTF-8,a01,水利工程學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/11 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15212,國家教育研究院-市場學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/204952434.csv,UTF-8,a01,市場學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/11 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15213,國家教育研究院-生命科學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/136453407.csv,UTF-8,a01,生命科學英中對照名詞等資訊。,英文名稱;中文名稱;學門,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/11 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15214,國家教育研究院-生命科學名詞-兩岸中小學教科書名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/106586546.csv,UTF-8,a01,生命科名詞-兩岸中小學教科書英中對照名詞等資訊。,英文名稱;中文名稱;大陸譯名,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/11 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15215,國家教育研究院-生命科學名詞-高中(含)以下生命科學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/208714165.csv,UTF-8,a01,生命科學名詞-高中(含)以下生命科學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/11 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15216,國家教育研究院-生命科學名詞-科學家譯名,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/103935461.csv,UTF-8,a01,生命科學名詞-科學家譯名英中對照名詞等資訊。,英文名稱;中文名稱;姓氏;生卒年;祖籍,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/11 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15217,國家教育研究院-生物學名詞-植物學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/15217.csv,UTF-8,a01,生物學名詞-植物學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/11 00:00","2019/07/17 19:55","授權說明網址: http://data.gov.tw/license"
15218,國家教育研究院-生產自動化學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/157626826.csv,UTF-8,a01,生產自動化英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/11 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15246,國家教育研究院-生態學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/46430888.csv,UTF-8,a01,生態學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/12 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15247,國家教育研究院-生態學名詞-兩岸生態學學術名詞,公共資訊,XML,http://www.naer.edu.tw/ezfiles/0/1000/img/80/15247.xml,UTF-8,a01,生態學名詞-兩岸生態學英中對照名詞等資訊。,DocumentProperties,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/07/07 00:00","2019/07/25 11:06","授權說明網址: http://data.gov.tw/license"
15248,國家教育研究院-地球科學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/993984131.csv,UTF-8,a01,地球科學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/12 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15249,國家教育研究院-地球科學名詞-兩岸中小學教科書學術名詞,公共資訊,XML,http://www.naer.edu.tw/ezfiles/0/1000/img/80/15249.xml,UTF-8,a01,地球科學名詞-兩岸中小學教科書英中對照名詞等資訊。,DocumentProperties,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/07/07 00:00","2019/07/25 11:12","授權說明網址: http://data.gov.tw/license"
15250,國家教育研究院-地球科學名詞-高中含以下地球科學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/52/914587560.csv,UTF-8,a01,地球科學名詞-高中含以下地球科學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/12 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15251,國家教育研究院-地理學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/294799955.csv,UTF-8,a01,地理學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/12 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15252,國家教育研究院-地理學名詞-兩岸中小學教科書學術名詞,公共資訊,XML,http://www.naer.edu.tw/ezfiles/0/1000/img/80/15252.xml,UTF-8,a01,地理學名詞-兩岸中小學教科書英中對照名詞等資訊。,DocumentProperties,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/07/07 00:00","2019/07/25 11:16","授權說明網址: http://data.gov.tw/license"
15253,國家教育研究院-地理學名詞-兩岸地理學學術名詞,公共資訊,XML,http://www.naer.edu.tw/ezfiles/0/1000/img/80/15253.xml,UTF-8,a01,地理學名詞-兩岸地理學英中對照名詞等資訊。,DocumentProperties,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/07/07 00:00","2019/07/25 11:21","授權說明網址: http://data.gov.tw/license"
15254,國家教育研究院-地理學名詞-高中含以下地理學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/12094482.csv,UTF-8,a01,地理學名詞-高中含以下地理學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/12 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15255,國家教育研究院-地質學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/140348008.csv,UTF-8,a01,地質學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/12 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15262,國家教育研究院-行政學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/860073615.csv,UTF-8,a01,行政學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/14 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15263,國家教育研究院-材料科學名詞-兩岸材料科學學術名詞,公共資訊,XML,http://www.naer.edu.tw/ezfiles/0/1000/img/80/15263.xml,UTF-8,a01,材料科學名詞-兩岸材料科學英中對照名詞等資訊。,DocumentProperties,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/07/07 00:00","2019/07/25 11:45","授權說明網址: http://data.gov.tw/license"
15264,國家教育研究院-材料科學名詞-金屬材料學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/178221887.csv,UTF-8,a01,材料科學名詞-金屬材料英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/14 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
